DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2015/04/01,5,46,29,57,29,44,84,23
2015/04/02,4,46,35,61,27,56,86,19
2015/04/03,5,48,37,48,29,38,84,22
2015/04/04,2,34,19,30,13,25,41,8
2015/04/05,0,18,14,20,10,11,37,4
2015/04/06,0,40,24,42,14,33,62,19
2015/04/07,0,37,32,64,16,38,70,23
2015/04/08,2,41,26,50,12,51,87,24
2015/04/09,7,42,39,49,14,47,83,21
2015/04/10,5,55,27,48,18,36,77,19
2015/04/11,1,27,20,34,7,22,51,11
2015/04/12,0,18,11,29,7,19,48,11
2015/04/13,2,57,31,54,21,40,76,23
2015/04/14,4,47,28,48,20,46,72,18
2015/04/15,4,59,36,57,19,44,85,18
2015/04/16,4,48,34,74,17,38,90,27
2015/04/17,5,57,38,53,29,47,85,16
2015/04/18,0,24,14,34,7,31,51,15
2015/04/19,2,27,14,19,8,11,36,9
2015/04/20,6,40,29,45,16,33,63,23
2015/04/21,4,53,28,52,13,40,73,18
2015/04/22,7,57,40,59,16,56,103,17
2015/04/23,4,77,45,75,22,72,99,21
2015/04/24,1,64,45,72,22,64,111,21
2015/04/25,2,44,34,40,14,38,58,15
2015/04/26,0,29,29,28,8,14,42,13
2015/04/27,4,58,51,56,25,46,92,26
2015/04/28,6,53,41,57,40,52,93,21
2015/04/29,4,52,60,68,28,63,118,25
2015/04/30,2,71,44,52,19,63,125,22
2015/05/01,2,66,61,58,14,66,100,22
2015/05/02,3,26,22,42,15,35,58,22
2015/05/03,1,29,22,32,9,30,52,9
2015/05/04,3,63,54,67,25,56,95,40
2015/05/05,2,45,47,54,14,52,87,35
2015/05/06,2,79,49,74,26,58,105,46
2015/05/07,2,68,58,77,31,58,96,54
2015/05/08,3,72,47,76,25,48,98,59
2015/05/09,2,40,33,45,13,30,64,17
2015/05/10,2,28,23,41,7,20,53,12
2015/05/11,2,59,35,55,21,51,88,30
2015/05/12,4,59,45,76,22,62,100,21
2015/05/13,5,61,41,62,31,60,118,27
2015/05/14,4,65,46,58,22,64,94,27
2015/05/15,2,70,52,81,30,58,101,29
2015/05/16,4,34,27,37,8,28,60,13
2015/05/17,2,24,9,22,13,13,42,13
2015/05/18,5,48,38,58,19,55,100,35
2015/05/19,7,68,49,61,25,52,108,26
2015/05/20,6,65,42,53,28,59,109,26
2015/05/21,2,62,35,87,30,75,125,28
2015/05/22,0,74,40,62,32,68,114,29
2015/05/23,2,31,20,42,19,32,64,22
2015/05/24,2,28,18,29,10,18,40,16
2015/05/25,2,42,42,51,17,36,71,34
2015/05/26,2,70,41,51,24,44,84,26
2015/05/27,4,70,48,65,29,69,97,37
2015/05/28,3,51,43,60,27,52,82,26
2015/05/29,0,58,56,60,22,60,92,31
2015/05/30,1,40,26,30,22,35,50,15
2015/05/31,0,24,22,24,7,16,36,17
2015/06/01,1,63,47,67,16,52,86,30
2015/06/02,1,49,49,53,21,39,91,33
2015/06/03,0,49,48,55,16,44,94,30
2015/06/04,3,59,43,49,29,58,100,36
2015/06/05,6,68,45,59,15,44,83,30
2015/06/06,4,34,31,33,14,29,63,18
2015/06/07,1,26,18,29,9,24,42,20
2015/06/08,3,38,38,60,18,49,93,29
2015/06/09,2,36,33,56,16,46,81,34
2015/06/10,7,56,36,67,20,58,93,31
2015/06/11,13,67,49,77,36,57,102,23
2015/06/12,7,56,41,59,19,67,85,25
2015/06/13,5,33,18,33,17,22,46,10
2015/06/14,0,16,10,22,11,14,41,11
2015/06/15,3,65,50,46,20,51,78,31
2015/06/16,4,55,42,65,26,60,99,23
2015/06/17,9,76,43,79,23,64,104,33
2015/06/18,6,65,63,72,27,83,120,23
2015/06/19,1,71,49,72,36,86,130,33
2015/06/20,2,47,32,38,16,26,58,19
2015/06/21,3,21,11,34,12,29,41,13
2015/06/22,4,55,44,67,31,57,90,30
2015/06/23,8,58,49,57,33,48,99,25
2015/06/24,7,68,48,78,44,62,106,24
2015/06/25,5,87,54,70,41,80,115,36
2015/06/26,3,75,37,78,86,51,99,26
2015/06/27,2,26,19,43,40,29,63,26
2015/06/28,0,14,12,26,35,19,43,9
