DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2016/06/29,2,80,64,44,28,145,123,58
2016/06/30,7,55,64,39,31,122,106,42
2016/07/01,0,56,58,44,28,110,106,35
2016/07/02,5,36,34,26,10,75,55,7
2016/07/03,1,37,29,28,6,49,63,11
2016/07/04,1,49,41,30,12,64,75,25
2016/07/05,9,63,66,46,25,120,116,36
2016/07/06,5,66,54,46,32,135,111,31
2016/07/07,6,54,45,27,19,123,82,27
2016/07/08,1,48,63,42,28,107,110,28
2016/07/09,3,34,43,25,11,79,85,8
2016/07/10,0,38,28,20,5,54,66,20
2016/07/11,1,58,48,45,29,130,105,33
2016/07/12,3,54,59,46,31,152,104,45
2016/07/13,4,49,52,47,40,118,106,47
2016/07/14,4,46,55,49,23,151,112,42
2016/07/15,5,62,52,56,30,134,109,39
2016/07/16,1,42,48,29,15,97,63,31
2016/07/17,1,46,39,27,13,49,70,20
2016/07/18,3,81,73,72,28,122,123,45
2016/07/19,3,85,61,85,33,143,118,49
2016/07/20,4,70,62,61,34,157,110,53
2016/07/21,5,61,53,57,28,133,111,57
2016/07/22,0,82,52,44,26,122,77,45
2016/07/23,2,45,49,28,14,72,54,18
2016/07/24,4,32,47,25,12,60,54,14
2016/07/25,16,67,89,50,21,122,98,59
2016/07/26,7,60,40,39,20,124,100,51
2016/07/27,14,74,64,52,22,134,121,65
2016/07/28,15,45,41,40,25,130,95,37
2016/07/29,12,66,53,41,18,125,94,48
2016/07/30,5,42,40,19,14,100,82,24
2016/07/31,3,36,40,12,4,39,48,19
2016/08/01,2,74,62,39,19,90,84,50
2016/08/02,7,54,57,45,21,141,101,45
2016/08/03,5,77,54,43,25,143,120,72
2016/08/04,4,57,59,51,20,130,91,51
2016/08/05,4,54,42,26,9,114,70,40
2016/08/06,0,37,35,22,6,82,77,21
2016/08/07,2,31,37,9,3,55,41,21
2016/08/08,4,77,45,38,25,82,89,36
2016/08/09,2,49,41,42,19,91,82,52
2016/08/10,2,83,72,41,26,173,129,59
2016/08/11,7,71,56,51,30,155,107,40
2016/08/12,4,57,54,45,27,96,89,40
2016/08/13,3,44,45,15,6,86,57,23
2016/08/14,2,34,43,20,2,51,48,25
2016/08/15,5,64,70,37,26,131,85,42
2016/08/16,6,81,57,41,22,165,104,63
2016/08/17,8,62,73,51,36,177,118,63
2016/08/18,4,72,61,41,14,122,87,36
2016/08/19,4,59,58,28,18,131,74,41
2016/08/20,0,41,43,18,13,81,51,28
2016/08/21,1,39,34,14,5,59,41,23
2016/08/22,0,66,78,35,30,107,97,44
2016/08/23,5,65,66,43,22,142,99,48
2016/08/24,4,64,73,41,31,155,128,48
2016/08/25,11,74,56,55,33,148,95,52
2016/08/26,7,78,63,38,32,172,106,34
2016/08/27,2,39,38,22,8,80,58,20
2016/08/28,0,38,36,6,6,45,46,14
2016/08/29,7,68,65,34,35,117,83,54
2016/08/30,13,83,70,26,15,162,99,72
2016/08/31,3,86,74,37,27,171,107,66
2016/09/01,9,76,65,36,23,158,88,48
2016/09/02,4,45,53,33,19,111,72,29
2016/09/03,2,42,46,11,13,80,58,17
2016/09/04,5,46,54,19,10,52,54,19
2016/09/05,4,62,53,35,17,69,77,34
2016/09/06,4,54,50,31,19,97,76,38
2016/09/07,7,64,80,55,26,161,103,56
2016/09/08,5,63,61,54,17,145,126,44
2016/09/09,8,58,56,40,20,131,98,44
2016/09/10,2,48,29,27,12,79,67,25
2016/09/11,1,37,31,20,11,52,54,16
2016/09/12,4,60,55,34,14,94,88,38
