DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2017/07/07,13,35,22,36,10,16,57,38
2017/07/08,4,14,18,23,5,19,35,20
2017/07/09,6,15,16,14,4,13,30,15
2017/07/10,16,26,22,36,7,12,61,22
2017/07/11,13,31,23,42,6,13,52,23
2017/07/12,5,57,81,41,10,28,93,46
2017/07/13,3,15,17,16,8,17,29,16
2018/09/27,3,14,8,8,5,12,21,8
2018/09/28,1,44,16,23,7,18,39,18
2018/09/29,1,23,19,12,7,6,15,11
2018/09/30,1,14,8,8,7,7,18,9
2018/10/01,3,31,19,18,11,18,30,25
2018/10/02,5,27,28,16,15,21,49,22
2018/10/03,5,35,20,19,6,21,41,16
2018/10/04,5,47,23,25,14,26,42,28
2018/10/05,4,35,14,15,13,23,30,18
2018/10/06,1,17,4,12,6,14,12,12
2018/10/07,0,14,11,9,2,4,17,10
2018/10/08,0,26,18,15,7,16,30,12
2018/10/09,3,22,21,12,9,10,24,27
2018/10/10,1,43,37,19,10,27,29,26
2018/10/11,5,45,30,13,9,29,45,23
2018/10/12,4,35,28,13,4,25,27,20
2018/10/13,0,17,12,8,4,12,23,7
2018/10/14,0,18,10,9,3,5,12,14
2018/10/15,0,46,37,23,12,10,31,23
2018/10/16,4,46,25,20,11,21,44,35
2018/10/17,2,31,12,25,7,34,45,34
2018/10/18,1,49,16,13,5,38,38,27
2018/10/19,4,38,13,19,10,35,34,28
2018/10/20,4,23,3,12,5,25,25,17
2018/10/21,0,19,2,7,5,10,20,11
2018/10/22,2,33,15,17,4,22,42,21
2018/10/23,3,35,18,30,13,36,46,39
2018/10/24,0,56,24,28,9,37,54,28
2018/10/25,1,34,27,33,15,18,58,35
2018/10/26,2,42,27,40,13,49,73,30
2018/10/27,0,21,8,27,15,31,39,20
2018/10/28,0,14,6,28,22,19,30,16
2018/10/29,0,37,18,41,22,42,63,27
2018/10/30,1,56,41,34,16,44,77,47
2018/10/31,2,55,21,35,10,40,66,45
2018/11/01,3,51,24,34,25,49,47,49
2018/11/02,2,47,24,31,27,30,55,43
2018/11/03,1,28,32,22,8,32,29,25
2018/11/04,2,18,13,9,4,18,22,19
2018/11/05,3,32,10,21,15,20,52,35
2018/11/06,4,45,23,23,12,22,40,64
2018/11/07,3,43,22,18,32,27,49,115
2018/11/08,5,39,14,39,15,31,45,54
2018/11/09,2,46,28,28,19,15,62,40
2018/11/10,2,19,11,11,5,10,35,23
2018/11/11,1,8,9,6,1,8,26,8
2018/11/12,2,44,33,23,4,21,66,23
2018/11/13,4,35,30,33,11,18,60,29
2018/11/14,2,35,26,31,8,24,61,34
2018/11/15,3,34,17,26,16,37,49,29
2018/11/16,3,52,21,27,9,30,42,33
2018/11/17,0,23,14,16,4,24,24,15
2018/11/18,1,21,16,12,1,9,23,17
2018/11/19,0,24,11,11,4,17,28,16
2018/11/20,3,39,24,30,17,35,49,22
2018/11/21,6,34,16,14,9,26,27,24
2018/11/22,5,27,22,14,9,20,35,8
2018/11/23,5,15,14,10,3,18,32,6
2018/11/24,1,15,5,14,3,9,18,10
2018/11/25,0,11,9,11,6,7,23,11
2018/11/26,4,31,23,12,7,22,35,18
2018/11/27,7,42,25,38,19,37,56,35
2018/11/28,10,41,27,26,13,29,48,40
2018/11/29,1,34,16,14,14,34,39,15
2018/11/30,4,26,24,15,3,30,35,16
2018/12/01,2,20,13,12,4,23,34,15
2018/12/02,1,15,8,7,3,10,25,6
2018/12/03,2,27,25,25,8,19,46,9
2018/12/04,5,19,9,10,7,17,34,26
2018/12/05,2,32,18,18,16,37,40,27
2018/12/06,0,30,23,29,9,28,51,29
2018/12/07,5,28,26,24,20,22,51,27
2018/12/08,3,17,11,10,4,15,18,17
2018/12/09,1,4,7,11,3,10,13,9
2018/12/10,3,27,15,5,3,24,34,13
2018/12/11,2,30,19,20,10,37,47,16
2018/12/12,4,29,16,20,11,35,48,36
2018/12/13,2,26,20,30,9,27,46,21
2018/12/14,4,29,20,20,11,22,46,20
2018/12/15,2,15,8,9,6,10,27,16
2018/12/16,0,7,8,12,4,12,14,9
2018/12/17,5,22,15,26,15,24,44,22
2018/12/18,2,35,14,29,8,25,50,25
2018/12/19,0,40,17,21,15,34,39,22
2018/12/20,6,36,13,29,8,29,56,27
2018/12/21,0,30,17,23,6,20,30,5
2018/12/22,2,19,4,12,5,16,23,9
2018/12/23,0,18,10,9,1,8,9,6
2018/12/24,1,30,18,26,4,8,37,7
2018/12/25,0,23,13,10,4,14,28,7
2018/12/26,0,29,14,10,2,14,33,6
2018/12/27,2,15,9,12,3,13,32,8
2018/12/28,1,17,13,10,4,8,30,5
2018/12/29,1,14,6,20,7,10,29,10
