DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2017/01/14,1,16,6,5,2,12,13,3
2017/01/15,2,9,5,6,3,13,20,3
2017/01/16,0,17,10,7,1,13,14,6
2017/01/17,6,28,7,10,4,24,37,5
2017/01/18,1,24,14,11,5,14,35,6
2017/01/19,2,13,11,9,5,12,26,3
2017/01/20,1,23,16,11,1,18,30,11
2017/01/21,0,8,4,6,5,8,15,10
2017/01/22,0,18,4,7,2,9,17,6
2017/01/23,1,18,11,11,5,10,31,9
2017/01/24,2,16,7,12,3,18,23,6
2017/01/25,3,19,12,14,2,19,37,10
2017/01/26,0,24,13,19,7,17,37,4
2017/01/27,0,14,2,11,3,9,23,4
2017/01/28,1,19,5,13,3,11,24,5
2017/01/29,2,22,2,18,12,9,21,5
2017/01/30,3,25,9,20,10,12,30,10
2017/01/31,0,20,8,17,2,12,21,9
2017/02/01,1,21,8,11,5,12,25,8
2017/02/02,0,19,7,15,6,24,25,3
2017/02/03,1,23,6,14,0,17,32,3
2017/02/04,1,14,9,8,4,10,13,5
2017/02/05,1,15,6,9,1,12,13,3
2017/02/06,0,27,8,19,7,17,29,3
2017/02/07,0,20,5,15,7,20,27,5
2017/02/08,0,30,15,10,3,21,19,5
2017/02/09,0,18,12,14,2,18,28,3
2017/02/10,0,16,8,14,14,16,27,7
2017/02/11,3,26,7,5,4,10,17,1
2017/02/12,0,10,3,4,1,4,9,3
2017/02/13,1,36,7,10,10,24,27,8
2017/02/14,1,22,5,8,3,19,21,5
2017/02/15,3,15,6,13,7,18,24,2
2017/02/16,1,23,12,16,5,28,29,2
2017/02/17,0,23,12,17,6,31,32,6
2017/02/18,0,17,13,8,1,13,22,5
2017/02/19,4,13,6,10,5,14,19,4
2017/02/20,0,22,7,16,5,21,21,1
2017/02/21,3,29,9,7,4,19,21,3
2017/02/22,2,23,11,9,4,15,24,4
2017/02/23,1,17,15,11,2,14,25,4
2017/02/24,0,17,11,11,2,22,27,11
2017/02/25,0,15,4,9,0,12,10,4
2017/02/26,1,8,6,11,1,9,9,3
2017/02/27,1,19,7,11,9,13,21,1
2017/02/28,2,18,11,16,4,24,21,5
2017/03/01,2,23,9,15,2,18,26,3
2017/03/02,1,15,3,7,3,14,17,2
2017/03/03,1,14,1,6,8,14,15,3
2017/03/04,0,8,2,9,3,8,16,5
2017/03/05,2,12,4,6,2,8,14,6
2017/03/06,1,25,14,12,6,22,22,3
2017/03/07,3,14,11,9,2,12,15,4
2017/03/08,9,41,9,18,10,38,37,7
2017/03/09,1,27,10,7,11,22,29,6
2017/03/10,3,23,9,9,4,19,32,6
2017/03/11,1,14,3,6,4,6,15,4
2017/03/12,3,14,8,5,5,15,13,6
2017/03/13,1,16,6,10,6,18,25,3
2017/03/14,0,27,7,9,4,6,22,5
2017/03/15,2,23,16,10,3,19,16,4
2017/03/16,2,20,14,8,4,15,25,3
2017/03/17,3,11,10,8,1,11,18,8
2017/03/18,2,13,4,5,2,11,12,3
2017/03/19,0,9,6,2,2,12,9,3
2017/03/20,4,17,6,9,1,19,25,4
2017/03/21,0,15,9,9,6,15,25,5
2017/03/22,1,20,7,23,9,20,30,2
2017/03/23,1,15,4,31,3,13,35,2
2017/03/24,0,16,7,26,2,19,30,4
2017/03/25,0,10,5,19,3,15,31,1
2017/03/26,0,14,3,18,2,15,23,4
2017/03/27,0,14,8,12,1,11,22,6
2017/03/28,4,18,7,12,1,20,22,3
2017/03/29,2,26,8,21,3,22,39,6
2017/03/30,0,12,7,10,4,11,16,0
2017/03/31,2,8,2,12,2,8,24,2
2017/04/01,2,4,1,5,4,3,10,2
2017/04/02,0,9,7,3,2,2,12,3
2017/04/03,3,22,9,15,1,18,35,4
2017/04/04,0,10,6,6,2,15,23,4
2017/04/05,1,13,9,12,3,15,17,4
2017/04/06,0,10,5,6,3,6,15,2
2017/04/07,0,9,4,12,3,13,23,3
2017/04/08,0,6,1,2,1,2,4,0
2017/04/09,0,9,2,8,0,8,15,1
2017/04/10,1,10,7,10,2,8,15,0
2017/04/11,1,11,6,6,4,13,20,1
2017/04/12,1,11,0,7,3,4,16,2
2017/04/13,0,6,2,7,1,5,14,0
2017/04/14,0,3,0,5,0,5,14,0
2017/04/15,1,9,5,3,2,5,14,1
2017/04/16,2,13,3,8,3,5,17,2
2017/04/17,2,11,1,8,2,10,19,3
2017/04/18,2,13,8,11,1,11,20,12
2017/04/19,0,9,6,8,0,11,19,10
2017/04/20,3,9,5,13,1,13,22,8
2017/04/21,1,10,11,8,0,12,16,10
2017/04/22,1,8,5,7,1,5,14,10
2017/04/23,0,4,1,5,1,14,14,2
2017/04/24,1,8,5,9,3,10,21,12
2017/04/25,1,3,4,7,1,13,18,8
2017/04/26,0,10,6,5,2,8,12,7
2017/04/27,0,19,5,13,2,13,26,8
2017/04/28,0,18,6,10,3,13,26,5
2017/04/29,1,7,3,4,3,8,11,6
2017/04/30,1,5,4,4,0,7,14,6
2017/05/01,1,7,3,5,1,5,10,4
2017/05/02,0,16,4,6,3,8,16,5
2017/05/03,2,20,3,4,2,11,14,9
2017/05/04,0,11,2,7,1,12,13,4
2017/05/05,1,5,4,5,1,3,9,7
2017/05/06,1,5,3,9,1,10,16,3
2017/05/07,1,10,2,15,4,8,16,7
2017/05/08,0,16,3,13,4,13,21,11
2017/05/09,3,15,7,16,2,13,24,12
2017/05/10,0,9,7,6,0,10,18,2
2017/05/11,0,9,8,8,0,10,23,4
2017/05/12,2,18,5,8,3,9,21,6
2017/05/13,2,2,4,2,0,5,5,3
2017/05/14,4,5,1,1,1,2,2,4
2017/05/15,4,9,6,5,4,9,10,6
2017/05/16,1,8,3,5,2,6,12,7
2017/05/17,3,10,4,9,3,9,17,6
2017/05/18,2,9,2,5,3,6,14,4
2017/05/19,1,11,1,9,3,10,15,10
2017/05/20,1,4,2,5,1,5,6,1
2017/05/21,1,3,3,4,0,2,8,5
2017/05/22,2,5,4,12,3,9,17,9
2017/05/23,5,16,4,45,3,15,44,12
2017/05/24,0,13,2,23,1,11,25,4
2017/05/25,0,9,3,18,1,7,19,1
2017/05/26,0,8,4,11,1,8,19,3
2017/05/27,0,8,3,19,4,8,24,8
2017/05/28,1,7,3,18,2,9,19,4
2017/05/29,1,12,4,22,1,14,24,5
2017/05/30,2,13,8,14,1,9,18,5
2017/05/31,1,9,4,10,3,7,17,8
2017/06/01,5,9,2,6,2,12,17,9
2017/06/02,0,11,5,11,0,8,15,8
2017/06/03,1,8,2,6,0,6,11,3
2017/06/04,1,13,2,20,0,5,23,4
2017/06/05,0,11,3,31,1,12,28,14
2017/06/06,0,11,5,25,2,5,26,9
2017/06/07,1,10,5,16,4,5,17,3
2017/06/08,0,6,5,13,0,5,12,17
2017/06/09,0,6,13,10,1,7,18,40
2017/06/10,0,5,4,8,4,7,17,18
2017/06/11,0,7,4,7,3,9,14,10
2017/06/12,0,10,4,7,4,6,16,16
2017/06/13,1,8,5,10,2,14,20,9
2017/06/14,1,9,1,4,1,8,9,7
2017/06/15,1,16,2,3,1,5,14,9
2017/06/16,1,20,5,6,3,10,9,6
2017/06/17,0,12,5,6,0,3,11,1
2017/06/18,0,16,8,10,2,8,12,5
2017/06/19,0,19,2,21,2,15,25,4
2017/06/20,0,21,17,16,3,14,19,3
2017/06/21,0,12,4,13,5,7,13,7
2017/06/22,0,15,6,14,2,4,14,3
2017/06/23,2,10,3,5,0,5,3,2
2017/06/24,1,13,7,5,2,7,7,1
2017/06/25,0,12,5,3,3,11,7,8
2017/06/26,3,14,9,10,2,13,15,3
2017/06/27,3,24,7,9,1,16,12,0
2017/06/28,2,14,4,7,0,8,13,1
2017/06/29,0,5,1,8,2,8,16,3
2017/06/30,1,19,6,8,1,19,11,6
2017/07/01,0,6,4,6,2,6,6,3
2017/07/02,0,10,4,4,2,6,15,3
2017/07/03,0,13,3,7,1,13,19,3
2017/07/04,0,16,2,7,3,10,15,3
2017/07/05,1,13,4,8,1,5,18,5
2017/07/06,0,12,9,8,4,12,15,4
2017/07/07,4,16,6,11,0,7,15,9
2017/07/08,0,12,5,8,5,6,11,6
2017/07/09,1,5,5,4,0,3,10,4
2017/07/10,0,11,3,7,5,8,18,4
2017/07/11,0,11,10,5,2,6,16,4
2017/07/12,1,19,3,7,1,12,11,7
2017/07/13,0,6,5,8,2,5,9,5
2017/07/14,0,8,3,8,2,10,14,3
2017/07/15,2,3,3,4,1,5,7,3
2017/07/16,0,5,1,0,0,6,6,4
2017/07/17,0,13,9,4,0,9,16,2
2017/07/18,1,16,6,7,3,14,13,6
2017/07/19,3,24,5,6,0,11,14,3
2017/07/20,3,14,1,2,2,12,14,5
2017/07/21,1,11,13,4,2,8,9,1
2017/07/22,0,9,2,4,0,4,6,0
2017/07/23,0,7,6,4,0,8,7,2
2017/07/24,0,9,9,5,1,8,15,4
2017/07/25,0,11,4,4,2,9,10,3
2017/07/26,0,8,5,5,1,14,12,2
2017/07/27,0,12,8,7,2,17,20,1
2017/07/28,1,10,5,2,2,7,11,2
2017/07/29,0,9,8,4,0,11,10,1
2017/07/30,0,5,4,4,2,7,14,1
2017/07/31,1,13,7,6,1,11,15,5
2017/08/01,0,12,9,2,2,10,17,2
2017/08/02,0,8,4,8,4,14,17,3
2017/08/03,0,10,5,5,0,11,14,1
2017/08/04,1,10,4,3,3,9,19,4
