DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2015/09/03,2,66,22,27,14,34,55,9
2015/09/04,3,56,24,22,9,37,49,14
2015/09/05,0,28,13,13,7,17,16,3
2015/09/06,2,26,13,8,2,26,23,6
2015/09/07,1,50,20,24,2,44,45,18
2015/09/08,3,55,22,38,10,34,58,17
2015/09/09,3,50,19,39,11,34,53,12
2015/09/10,2,52,22,27,9,37,47,15
2015/09/11,6,53,24,30,8,50,40,26
2015/09/12,1,27,13,21,4,17,30,23
2015/09/13,1,10,7,14,3,15,18,14
2015/09/14,0,51,25,29,9,31,50,24
2015/09/15,1,43,30,31,8,41,62,15
2015/09/16,2,65,27,38,12,42,55,28
2015/09/17,2,59,23,28,10,34,52,16
2015/09/18,1,40,17,29,8,43,55,24
2015/09/19,0,14,6,11,5,17,28,11
2015/09/20,0,14,8,13,6,14,26,12
2015/09/21,3,44,9,32,9,39,48,21
2015/09/22,3,57,21,23,11,32,43,14
2015/09/23,6,49,26,24,8,50,52,15
2015/09/24,4,62,28,29,13,35,48,18
2015/09/25,3,41,35,36,7,39,48,22
2015/09/26,0,16,16,16,4,17,26,15
2015/09/27,0,25,9,11,2,17,17,8
2015/09/28,1,39,25,30,7,32,44,21
2015/09/29,2,55,30,37,13,44,54,20
2015/09/30,1,62,27,39,14,40,67,16
2015/10/01,6,41,11,35,6,42,55,16
2015/10/02,4,34,19,29,13,38,41,12
2015/10/03,2,16,6,22,6,18,34,10
2015/10/04,0,19,12,12,4,20,20,11
2015/10/05,3,43,28,32,5,32,52,21
2015/10/06,1,44,17,29,9,53,44,15
2015/10/07,3,44,21,28,13,40,50,20
2015/10/08,3,45,33,35,7,43,46,14
2015/10/09,3,66,22,26,4,31,42,10
2015/10/10,0,10,8,13,1,21,24,4
2015/10/11,0,16,5,12,2,15,22,10
